input_filename,output_filename,model_name,json_schema,input_tokens,cached_input_tokens,output_tokens,total_tokens,time_to_generate
user_prompt_syn_pt_3.txt,user_prompt_syn_pt_3_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,5025,4914,2786,7811,31.548
user_prompt_syn_pt_2.txt,user_prompt_syn_pt_2_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,5950,0,2639,8589,24.657
user_prompt_syn_pt_1.txt,user_prompt_syn_pt_1_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,3947,0,2264,6211,22.209
user_prompt_syn_pt_4.txt,user_prompt_syn_pt_4_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,6403,1842,3245,9648,40.859
