input_filename,output_filename,model_name,json_schema,input_tokens,cached_input_tokens,output_tokens,total_tokens,time_to_generate
user_prompt_syn_pt_3.txt,user_prompt_syn_pt_3_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,2676,0,2088,4764,17.435
user_prompt_syn_pt_2.txt,user_prompt_syn_pt_2_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,3452,0,2694,6146,83.102
user_prompt_syn_pt_1.txt,user_prompt_syn_pt_1_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,2178,1842,2175,4353,27.821
user_prompt_syn_pt_4.txt,user_prompt_syn_pt_4_cr_feedback.json,o4-mini-2025-04-16,cr_feedback,3711,1842,1999,5710,22.623
