input_filename,output_filename,model_name,json_schema,input_tokens,cached_input_tokens,output_tokens,total_tokens,time_to_generate
user_prompt_syn_pt_3.txt,user_prompt_syn_pt_3_chart_review.json,o4-mini-2025-04-16,chart_review,3422,0,3730,7152,49.507
user_prompt_syn_pt_2.txt,user_prompt_syn_pt_2_chart_review.json,o4-mini-2025-04-16,chart_review,4198,0,4138,8336,34.388
user_prompt_syn_pt_1.txt,user_prompt_syn_pt_1_chart_review.json,o4-mini-2025-04-16,chart_review,2924,0,3327,6251,30.110
user_prompt_syn_pt_4.txt,user_prompt_syn_pt_4_chart_review.json,o4-mini-2025-04-16,chart_review,4457,0,3607,8064,32.160
