input_filename,output_filename,model_name,json_schema,input_tokens,cached_input_tokens,output_tokens,total_tokens,time_to_generate
user_prompt_syn_pt_3.txt,user_prompt_syn_pt_3_chart_review.json,o3-mini-2025-01-31,chart_review,3317,0,3014,6331,21.839
user_prompt_syn_pt_2.txt,user_prompt_syn_pt_2_chart_review.json,o3-mini-2025-01-31,chart_review,4093,0,3645,7738,27.223
user_prompt_syn_pt_1.txt,user_prompt_syn_pt_1_chart_review.json,o3-mini-2025-01-31,chart_review,2819,0,3494,6313,21.131
user_prompt_syn_pt_4.txt,user_prompt_syn_pt_4_chart_review.json,o3-mini-2025-01-31,chart_review,4352,0,3556,7908,25.778
